category_id,subcat_id
1,19
1,350
1,325
1,173
1,135
1,239
1,222
1,116
1,88
1,192
1,81
1,59
1,221
1,91
1,117
1,200
1,352
1,61
1,86
1,132
1,13
1,255
1,134
1,282
1,58
1,281
1,303
1,351
1,115
1,90
1,87
1,18
1,178
1,60
1,199
1,155
1,296
1,89
1,258
1,136
1,154
1,153
1,302
1,133
1,301
1,326
1,20
1,220
2,21
2,283
2,62
2,259
2,40
2,22
2,41
2,179
2,304
2,305
2,201
3,54
3,172
3,216
3,344
3,215
3,295
3,109
3,80
3,12
3,110
3,79
3,188
3,254
3,253
4,328
4,137
4,23
4,327
4,284
4,42
4,240
4,118
4,180
4,63
5,346
5,151
5,278
5,276
5,191
5,189
5,82
5,275
5,296
5,112
5,36
5,81
5,345
5,173
5,174
5,111
5,277
5,190
6,46
6,158
6,306
6,48
6,25
6,120
6,96
6,65
6,47
6,307
6,262
6,260
6,285
6,3
6,286
6,227
6,44
6,159
6,43
6,226
6,287
6,119
6,224
6,223
6,138
6,45
6,92
6,202
6,93
6,156
6,225
6,66
6,26
6,95
6,157
6,64
6,2
6,1
6,27
6,261
6,94
6,24
6,181
7,257
7,39
7,198
7,280
7,300
7,197
7,219
7,238
7,16
7,85
7,17
7,218
7,57
7,177
8,105
8,317
8,126
8,168
8,100
8,245
8,165
8,330
8,264
8,108
8,129
8,147
8,210
8,292
8,186
8,169
8,269
8,206
8,77
8,320
8,319
8,171
8,316
8,104
8,207
8,312
8,204
8,335
8,67
8,249
8,34
8,103
8,143
8,141
8,268
8,164
8,213
8,236
8,53
8,251
8,128
8,185
8,123
8,311
8,289
8,230
8,244
8,161
8,150
8,211
8,35
8,51
8,248
8,314
8,125
8,340
8,266
8,30
8,333
8,309
8,242
8,308
8,343
8,74
8,145
8,7
8,99
8,203
8,28
8,121
8,263
8,214
8,252
8,341
8,73
8,183
8,32
8,102
8,205
8,97
8,323
8,52
8,321
8,273
8,182
8,232
8,70
8,336
8,122
8,332
8,76
8,75
8,250
8,50
8,291
8,8
8,124
8,33
8,101
8,71
8,31
8,139
8,4
8,235
8,274
8,342
8,11
8,313
8,246
8,267
8,69
8,98
8,331
8,163
8,78
8,130
8,106
8,234
8,318
8,187
8,271
8,208
8,127
8,233
8,270
8,338
8,288
8,131
8,107
8,149
8,148
8,294
8,146
8,10
8,247
8,167
8,337
8,29
8,231
8,310
8,329
8,212
8,209
8,144
8,166
8,265
8,140
8,334
8,322
8,272
8,184
8,9
8,49
8,339
8,290
8,6
8,293
8,315
8,170
8,72
8,142
8,68
8,229
8,5
8,162
8,243
8,160
8,228
9,350
9,56
9,296
9,348
9,13
9,255
9,217
9,324
9,237
9,256
9,194
9,299
9,114
9,152
9,192
9,347
9,349
9,297
9,195
9,55
9,176
9,15
9,14
9,193
9,196
9,173
9,81
9,113
9,175
9,298
9,37
9,84
9,279
9,38
9,83
