brand_id,brand
1,GOTALENTS
2,Happy life
3,8H
4,CAVEEN
5,STRYVE
6,OUKESHI
7,iMars
8,SWIMMART
9,LYZA
10,Baellerry
11,Socofy
12,weixier
13,MVA
14,MUSTOOL
15,QIC
16,DecBest
17,SOFO
18,Topacc
19,Minleaf
20,ZUISH
21,CIGA Design
22,Spovan
23,WINNER
24,YUNCOO
25,HEMU
26,FLORHO
27,FRMZ
28,JINBAOLAI
29,KCASA
30,NOVO
31,KALOAD
32,VERONNI
33,BOBiNG
34,ALIVER
35,Egrow
36,KITWarm
37,Vlampo
38,ECUBEE
39,HUOHOU
40,LEORY
41,17PIN
42,DT NO.I
43,SANDA
44,GEMITTO
45,austinBem
46,Kenoce
47,Bakeey
48,BOXYM
49,DE COUVRIR
50,WenTongZi
51,Kiss kiss fish
52,OULM
53,HANNAH MARTIN
54,LYNWO
55,Middle East
56,FREETIE
57,ZJL476950
58,Tangjie
59,BIMEI
60,OURBAG
61,Protector Plus
62,angel kiss
63,KINGSLONG
64,GUBINTU
65,CUIKCA
66,Mrosaa
67,hengfang
68,HANDAIYAN
69,huamianli
70,ARILUX
71,Dibe
72,Excellway
73,Claite
74,SKMEI
75,DROW
76,GUANQIN
77,Microwear
78,VK
79,R·SPIER
80,LANMARH
81,RAX
82,YCOSIC
83,Auxo
84,Socofy-1
85,TAOMICMIC
86,BULLCAPTAIN
87,HAOSHUAI
88,Surker
89,90FUN
90,KING DO WAY
91,Italina
92,CHARMINER
93,newwear
94,yanyuanlong
95,leijiana
96,FULLGLADY
97,Baban
98,AH ARCTIC HUNTER
99,pudaier
100,Dailixaing
101,SaicleHome
102,Baseus
103,Xmund
104,SquishyFun
105,ZX LED LIGHT
106,SEAGO
107,SOOCAS
108,RUNDONG
109,IKUURANI
110,3M
111,RAXFLY
112,DEFFRUN
113,MINI FOCUS
114,SMAEL
115,TwentySeventeen
116,JASSY
117,LEMFO
118,INCERUN
119,ESCATCH
120,MODCHOK
121,DILUODAISHU
122,Miting
123,HAHA-DLAMI
124,MEANBEAUTY
125,ZENPH
126,pierre loues
127,JOSEKO
128,CHIBAO
129,QISEMIAN
130,Xiaoyuanxiang
131,Luckyfine
132,MISS RÔSE
133,IPRee
134,Inface
135,golovejoy
136,Drillpro
137,FLOVEME
138,TAILUP
139,YAZOLE
140,OCHSTIN
141,amazfit
142,BEWELL
143,Landian
144,SEOBEAN
145,jockmail
146,SUPERBODY
147,O-NEWE
148,JAZZEVAR
149,Yiranshini
150,MC CLAYN
151,Brenice
152,BANGE
153,Kemei
154,LAMUSELAND
155,ROMANTIC MAY
156,ENCHEN
157,Eric
158,VST
159,VIOMI
160,TICWRIS
161,CURREN
162,KAT-WACH
163,SOXY
164,ChArmkpR
165,Pioneer camp
166,YOINS
167,Menico
168,Veri Gude
169,duni
170,laoshizi
171,KVKY
172,Blioesy
173,Y.F.M
174,YANYU
175,PURC
176,Garmiss
177,IMAGIC
178,DENISE
179,Loskii
180,Seaknight
181,gracosy
182,Haylou
183,YUNMAI
184,Zeblaze
185,Honor
186,ESDY
187,NiS
188,UREVO
189,ME
190,CaseMe
191,KIMUSE
192,NICEFACE
193,MAGICAL HALO
194,MINFEI
195,Suleve
196,BUBM
197,SHUNWEI
198,KIWarm
199,Guildford
200,XYJ
201,MEGIR
202,KUNIU
203,REBIRTH
204,SINOBI
205,VONDA
206,Kidsform
207,ZK
208,M.GENERAL
209,Cnfio
210,mancaihuixiu
211,KAKA
212,GZCZ
213,ferricos
214,Kadell
215,MABOX
216,Slimerence
217,3life
218,ROCK
219,Ondoing
220,KingSo
221,WWOOR
222,NAVIFORCE
223,BELUSHI
224,JIJIA
225,CAMEL
226,Style Dome
227,DAISSIONI
228,LCM329067
229,JINQIAOER
230,qianxilu
231,BlitzWolf
232,Honana
233,DANCINGNAIL
234,LULAA
235,Hapet
236,Hizek
237,SMATE
238,Vvcare
239,SOTHING
240,Areedy
241,shengke
242,BIDEN
243,LONGBO
244,Ananke
245,INALIS
246,OHSEN
247,Meibin
248,PODOM
249,ZANZEA
250,SALYBABY
251,E Ekphero
252,TTWN BEAR
253,insular
254,ankequan
255,AUGIENB
256,Naturehike
257,Yueli
258,VH
259,FRAP
260,YIWUYISHI
261,CRRJU
262,XANES
263,OUKITEL
264,WANGJIANG
265,Lostisy
266,Uleemark
267,ZHI
268,NUZADA
269,XLOONG
270,KINGSONS
271,FALAN MULE
272,SACE LADY
273,qibest
274,Jordan&Judy
275,ZANLURE
276,Tezoo
277,Kiibru
278,Sanqi Elan
279,Pag
280,BSIDE
281,kospet
282,Lenovo
283,MUNITI
284,TUBENG
285,YJP
286,Gracila
287,ACHIOOWA
288,KISSLACE
289,UACY
290,XIAOMI
291,SUNNYME
292,huaeryouyue
293,DANNY BEAR
294,TAOMAOMAO
295,Daralis
296,Yani
297,DIGOO
298,Deerma
299,TRACK MAN
300,DUOYA
301,KINYUED
302,TEVISE
303,WEIDE
304,senbono
305,BDO
306,HOSKA
307,KIDS TALES
308,Celmia
309,TWO-SIDED
310,DEENYT
